,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tên báo cáo,Chỉ số tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngày tải,15/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đơn vị tính,VNĐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
        Tăng trưởng lợi nhuận sau thuế,-8.70%,-3.56%,21.45%,18.20%,24.44%,8.43%,5.56%,-18.04%,-14.89%,-21.44%,-26.52%,-12.05%,0.50%,-4.92%,-7.71%,-6.84%,-0.74%,14.38%,5.97%,-0.93%,-4.26%,5.08%,8.72%,3.31%,31.80%,-4.97%,-8.75%,-7.96%,-4.61%,5.69%,3.79%,36.06%,-3.54%,19.36%,28.84%,38.56%,9.62%,55.15%,38.70%,12.22%
Chỉ tiêu Bảng cân đối (Tỷ đồng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Tổng tài sản,"55,049,061,537,061.00","57,677,080,306,452.00","54,193,954,187,994.00","51,653,869,771,730.00","52,673,371,104,460.00","54,967,436,003,598.00","50,968,781,757,650.00","49,264,785,492,099.00","48,482,664,236,220.00","51,199,903,422,164.00","53,842,175,999,663.00","52,995,528,231,171.00","53,332,403,438,219.00","52,067,759,208,240.00","53,046,669,029,192.00","51,051,210,880,651.00","48,432,480,673,629.00","50,396,457,516,921.00","49,596,809,946,225.00","46,073,727,018,989.00","44,699,873,386,034.00","40,101,852,847,756.00","40,186,475,665,451.00","38,305,261,792,855.00","37,366,108,654,179.00","34,026,431,394,368.00","36,183,530,062,338.00","35,328,719,216,070.00","34,667,318,837,497.00","31,595,714,941,194.00","31,955,032,118,295.00","31,068,544,643,384.00","29,378,656,325,464.00","27,656,720,742,141.00","29,798,001,198,779.00","29,068,835,554,512.00","27,478,175,944,352.00","25,958,969,285,317.00","27,223,661,690,599.00","27,003,064,354,813.00"
        Tăng trưởng Tổng tài sản,4.51%,4.93%,6.33%,4.85%,8.64%,7.36%,-5.34%,-7.04%,-9.09%,-1.67%,1.50%,3.81%,10.12%,3.32%,6.96%,10.80%,8.35%,25.67%,23.42%,20.28%,19.63%,17.86%,11.06%,8.43%,7.78%,7.69%,13.23%,13.71%,18.00%,14.24%,7.24%,6.88%,6.92%,6.54%,9.46%,7.65%,6.63%,8.58%,14.70%,16.07%
    Tài sản ngắn hạn,"37,553,650,065,098.00","40,582,371,278,735.00","37,332,761,258,942.00","35,013,917,574,413.00","35,935,879,621,477.00","37,680,161,943,052.00","33,403,479,517,290.00","32,394,853,632,375.00","31,560,382,174,201.00","34,373,292,456,500.00","36,871,285,863,860.00","35,452,395,671,778.00","36,109,910,649,785.00","34,446,542,339,559.00","35,042,535,233,833.00","32,834,546,632,146.00","29,665,725,805,058.00","31,541,319,633,765.00","30,073,376,341,979.00","26,461,638,721,175.00","24,721,565,376,552.00","22,146,344,620,561.00","22,089,274,019,449.00","22,040,432,596,172.00","20,559,756,794,837.00","18,360,115,898,846.00","20,818,678,622,022.00","19,974,838,548,267.00","20,307,434,789,529.00","18,889,319,053,176.00","20,677,934,235,834.00","20,171,593,469,610.00","18,673,827,685,789.00","17,322,793,032,464.00","19,513,524,046,623.00","18,004,264,892,914.00","16,731,875,433,624.00","15,029,826,360,314.00","16,603,153,127,894.00","16,640,748,752,812.00"
        Tăng trưởng tài sản ngắn hạn,4.50%,7.70%,11.76%,8.08%,13.86%,9.62%,-9.41%,-8.62%,-12.60%,-0.21%,5.22%,7.97%,21.72%,9.21%,16.52%,24.08%,20.00%,42.42%,36.14%,20.06%,20.24%,20.62%,6.10%,10.34%,1.24%,-2.80%,0.68%,-0.98%,8.75%,9.04%,5.97%,12.04%,11.61%,15.26%,17.53%,8.19%,7.79%,17.34%,20.50%,22.66%
    Tài sản dài hạn,"17,495,411,471,963.00","17,094,709,027,717.00","16,861,192,929,052.00","16,639,952,197,317.00","16,737,491,482,983.00","17,287,274,060,546.00","17,565,302,240,360.00","16,869,931,859,724.00","16,922,282,062,019.00","16,826,610,965,664.00","16,970,890,135,803.00","17,543,132,559,393.00","17,222,492,788,434.00","17,621,216,868,681.00","18,004,133,795,359.00","18,216,664,248,505.00","18,766,754,868,571.00","18,855,137,883,156.00","19,523,433,604,246.00","19,612,088,297,814.00","19,978,308,009,482.00","17,955,508,227,195.00","18,097,201,646,002.00","16,264,829,196,683.00","16,806,351,859,342.00","15,666,315,495,522.00","15,364,851,440,316.00","15,353,880,667,803.00","14,359,884,047,968.00","12,706,395,888,018.00","11,277,097,882,461.00","10,896,951,173,774.00","10,704,828,639,675.00","10,333,927,709,677.00","10,284,477,152,156.00","11,064,570,661,598.00","10,746,300,510,728.00","10,929,142,925,003.00","10,620,508,562,705.00","10,362,315,602,001.00"
        Tăng trưởng tài sản dài hạn,4.53%,-1.11%,-4.01%,-1.36%,-1.09%,2.74%,3.50%,-3.84%,-1.74%,-4.51%,-5.74%,-3.70%,-8.23%,-6.54%,-7.78%,-7.12%,-6.06%,5.01%,7.88%,20.58%,18.87%,14.61%,17.78%,5.93%,17.04%,23.29%,36.25%,40.90%,34.14%,22.96%,9.65%,-1.51%,-0.39%,-5.45%,-3.16%,6.78%,4.86%,-1.53%,6.67%,6.85%
    Nợ ngắn hạn,"18,459,546,837,640.00","22,021,271,584,074.00","15,403,310,205,136.00","15,294,387,986,523.00","17,138,689,974,862.00","20,399,327,964,197.00","13,742,782,382,772.00","14,407,882,880,499.00","15,308,423,081,524.00","16,983,265,249,980.00","16,644,210,900,330.00","17,607,914,154,548.00","17,068,416,995,519.00","17,766,091,926,204.00","18,127,021,271,173.00","16,532,816,332,955.00","14,212,646,285,475.00","18,164,145,581,085.00","16,681,721,259,498.00","13,314,973,420,207.00","14,442,851,833,360.00","11,924,062,277,981.00","10,816,139,387,760.00","8,816,669,411,270.00","10,639,592,009,462.00","7,381,050,047,407.00","8,862,722,162,878.00","8,441,889,289,285.00","10,195,562,827,092.00","7,089,478,813,206.00","6,712,397,749,306.00","5,534,019,542,094.00","6,457,497,982,894.00","6,370,099,514,142.00","6,316,879,862,995.00","5,760,854,047,953.00","6,004,316,835,213.00","6,183,917,147,643.00","5,431,901,592,093.00","5,227,911,279,864.00"
        Tăng trưởng nợ ngắn hạn,7.71%,7.95%,12.08%,6.15%,11.96%,20.11%,-17.43%,-18.17%,-10.31%,-4.41%,-8.18%,6.50%,20.09%,-2.19%,8.66%,24.17%,-1.59%,52.33%,54.23%,51.02%,35.75%,61.55%,22.04%,4.44%,4.36%,4.11%,32.04%,52.55%,57.89%,11.29%,6.26%,-3.94%,7.55%,3.01%,16.29%,10.19%,10.11%,20.16%,17.46%,29.15%
